key,citation_apa7,doi,url,tier,source_type,peer_reviewed,verification_status,access_or_verified_date
Corbin2025Talk,"Corbin, T., Dawson, P., & Liu, D. (2025). Talk is cheap: Why structural assessment changes are needed for a time of GenAI. Assessment & Evaluation in Higher Education, 50(7), 1087–1097. https://doi.org/10.1080/02602938.2025.2503964",10.1080/02602938.2025.2503964,https://doi.org/10.1080/02602938.2025.2503964,T2,journal,True,VERIFIED,2026-09-17
Crompton2026,"Crompton, H., Burke, D., Nickel, C., Bozkurt, A., Miao, F., Sharples, M., Greene, J. A., Parsons, D., Gill-Simmen, L., Edmett, A., Pegrum, M., de Waard, I., Bonk, C. J., Garcia, M. B., Curry, J. H., Lindsey, L., Yang, M., Marshall, S., Bali, M., . . . Yu, S. (2026). Governing generative AI in higher education: A global Delphi study on policy and practice. International Journal of Educational Technology in Higher Education, 23(1), Article 21. https://doi.org/10.1186/s41239-026-00602-z",10.1186/s41239-026-00602-z,https://doi.org/10.1186/s41239-026-00602-z,T2,journal,True,PARTIAL,2026-09-17
Korthals2026,"Korthals, L., Akrong, E., Geller, G., Rosenbusch, H., Grasman, R., & Visser, I. (2026). Towards reliable LLM grading through self-consistency and selective human review: Higher accuracy, less work. Machine Learning and Knowledge Extraction, 8(3), Article 74. https://doi.org/10.3390/make8030074",10.3390/make8030074,https://doi.org/10.3390/make8030074,T1,journal,True,VERIFIED,2026-09-17
FokWeld2024,"Fok, R., & Weld, D. S. (2024). In search of verifiability: Explanations rarely enable complementary performance in AI-advised decision making. AI Magazine, 45(3), 317–332. https://doi.org/10.1002/aaai.12182",10.1002/aaai.12182,https://doi.org/10.1002/aaai.12182,T1,journal,True,VERIFIED,2026-09-17
Vasconcelos2023,"Vasconcelos, H., Jörke, M., Grunde-McLaughlin, M., Gerstenberg, T., Bernstein, M. S., & Krishna, R. (2023). Explanations can reduce overreliance on AI systems during decision-making. Proceedings of the ACM on Human-Computer Interaction, 7(CSCW1), Article 129. https://doi.org/10.1145/3579605",10.1145/3579605,https://doi.org/10.1145/3579605,T1,journal,True,VERIFIED,2026-09-17
Bucinca2021,"Buçinca, Z., Malaya, M. B., & Gajos, K. Z. (2021). To trust or to think: Cognitive forcing functions can reduce overreliance on AI in AI-assisted decision-making. Proceedings of the ACM on Human-Computer Interaction, 5(CSCW1), Article 188. https://doi.org/10.1145/3449287",10.1145/3449287,https://doi.org/10.1145/3449287,T1,journal,True,VERIFIED,2026-09-17
Selwyn2025,"Selwyn, N., Ljungqvist, M., & Sonesson, A. (2025). When the prompting stops: Exploring teachers' work around the educational frailties of generative AI tools. Learning, Media and Technology, 50(3), 310–323. https://doi.org/10.1080/17439884.2025.2537959",10.1080/17439884.2025.2537959,https://doi.org/10.1080/17439884.2025.2537959,T1,journal,True,VERIFIED,2026-09-17
Zhou2025,"Zhou, R., Hua, W., Pan, L., Cheng, S., Wu, X., Yu, E., & Wang, W. Y. (2025). RuleArena: A benchmark for rule-guided reasoning with LLMs in real-world scenarios. In Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers) (pp. 550–572). Association for Computational Linguistics. https://doi.org/10.18653/v1/2025.acl-long.27",10.18653/v1/2025.acl-long.27,https://aclanthology.org/2025.acl-long.27/,T1,conference,True,checked (status field not recorded),2026-09-17
Parasuraman2000,"Parasuraman, R., Sheridan, T. B., & Wickens, C. D. (2000). A model for types and levels of human interaction with automation. IEEE Transactions on Systems, Man, and Cybernetics—Part A: Systems and Humans, 30(3), 286–297. https://doi.org/10.1109/3468.844354",10.1109/3468.844354,https://doi.org/10.1109/3468.844354,T2,journal,True,VERIFIED,2026-09-17
Kirichenko2025,"Kirichenko, P., Ibrahim, M., Chaudhuri, K., & Bell, S. J. (2025). AbstentionBench: Reasoning LLMs fail on unanswerable questions. In Advances in Neural Information Processing Systems 38 (pp. 190800–190850). https://doi.org/10.52202/085713-5729",10.52202/085713-5729,https://doi.org/10.52202/085713-5729,T1,conference,True,VERIFIED,2026-09-17
Wen2025,"Wen, B., Yao, J., Feng, S., Xu, C., Tsvetkov, Y., Howe, B., & Wang, L. L. (2025). Know your limits: A survey of abstention in large language models. Transactions of the Association for Computational Linguistics, 13, 529–556. https://doi.org/10.1162/tacl_a_00754",10.1162/tacl_a_00754,https://doi.org/10.1162/tacl_a_00754,T1,journal,True,VERIFIED,2026-09-17
Geifman2019,"Geifman, Y., & El-Yaniv, R. (2019). SelectiveNet: A deep neural network with an integrated reject option. In K. Chaudhuri & R. Salakhutdinov (Eds.), Proceedings of the 36th International Conference on Machine Learning (Vol. 97, pp. 2151–2159). PMLR. https://proceedings.mlr.press/v97/geifman19a.html",,https://proceedings.mlr.press/v97/geifman19a.html,T1,conference,True,VERIFIED,2026-09-17
Jabbour2025,"Jabbour, S., Fouhey, D., Banovic, N., Shepard, S. D., Kazerooni, E., Sjoding, M. W., & Wiens, J. (2026). Selective prediction reduces the negative effects of automation bias overall but increases false negatives (Version 2) [Preprint]. arXiv. https://doi.org/10.48550/arXiv.2508.07617",10.48550/arXiv.2508.07617,https://arxiv.org/abs/2508.07617,T2,preprint,False,checked (status field not recorded),2026-09-17
Zwerdling2025,"Zwerdling, N., Boaz, D., Rabinovich, E., Uziel, G., Amid, D., & Anaby Tavor, A. (2025). Towards enforcing company policy adherence in agentic workflows. In Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track (pp. 595–606). Association for Computational Linguistics. https://doi.org/10.18653/v1/2025.emnlp-industry.41",10.18653/v1/2025.emnlp-industry.41,https://doi.org/10.18653/v1/2025.emnlp-industry.41,T1,conference,True,VERIFIED,2026-09-17
Atil2025,"Atıl, B., Aykent, S., Chittams, A., Fu, L., Passonneau, R. J., Radcliffe, E., Rajagopal, G. R., Sloan, A., Tudrej, T., Türe, F., Wu, Z., Xu, L., & Baldwin, B. (2025). Non-determinism of “deterministic” LLM system settings in hosted environments. In Proceedings of the 5th Workshop on Evaluation and Comparison of NLP Systems (pp. 135–148). Association for Computational Linguistics. https://doi.org/10.18653/v1/2025.eval4nlp-1.12",10.18653/v1/2025.eval4nlp-1.12,https://aclanthology.org/2025.eval4nlp-1.12/,T1,conference,True,VERIFIED,2026-09-17
Krumdick2026,"Krumdick, M., Lovering, C., Reddy, V., Ebner, S., & Tanner, C. (2026). No free labels: Limitations of LLM-as-a-judge without human grounding (Version 3) [Preprint]. arXiv. https://doi.org/10.48550/arXiv.2503.05061",,https://arxiv.org/abs/2503.05061v3,T1,preprint,False,VERIFIED,2026-09-17
Ilagan2024,"Ilagan, J. B., & Ilagan, J. R. (2024). A prototype of a conversational virtual university support agent powered by a large language model that addresses inquiries about policies in the student handbook. Procedia Computer Science, 239, 1124–1131. https://doi.org/10.1016/j.procs.2024.06.278",10.1016/j.procs.2024.06.278,https://doi.org/10.1016/j.procs.2024.06.278,T2,conference,True,checked (status field not recorded),2026-09-17
Tam2024,"Tam, Z. R., Wu, C.-K., Tsai, Y.-L., Lin, C.-Y., Lee, H.-y., & Chen, Y.-N. (2024). Let me speak freely? A study on the impact of format restrictions on large language model performance. In Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing: Industry Track (pp. 1218–1236). Association for Computational Linguistics. https://doi.org/10.18653/v1/2024.emnlp-industry.91",10.18653/v1/2024.emnlp-industry.91,https://aclanthology.org/2024.emnlp-industry.91/,T2,conference,True,checked (status field not recorded),2026-09-17
Magesh2025,"Magesh, V., Surani, F., Dahl, M., Suzgun, M., Manning, C. D., & Ho, D. E. (2025). Hallucination-free? Assessing the reliability of leading AI legal research tools. Journal of Empirical Legal Studies, 22(2), 216–242. https://doi.org/10.1111/jels.12413",10.1111/jels.12413,https://onlinelibrary.wiley.com/doi/full/10.1111/jels.12413,T2,journal,True,checked (status field not recorded),2026-09-17
Bean2025,"Bean, A. M., Kearns, R. O., Romanou, A., Hafner, F. S., Mayne, H., Batzner, J., Foroutan Eghlidi, N., Schmitz, C., Korgul, K., Batra, H., Deb, O., Beharry, E., Emde, C., Foster, T., Gausen, A., Grandury, M., Han, S., Hofmann, V., Ibrahim, L., . . . Mahdi, A. (2025). Measuring what matters: Construct validity in large language model benchmarks. In Advances in Neural Information Processing Systems 38 (pp. 19868–19949). https://doi.org/10.52202/085713-0590",10.52202/085713-0590,https://doi.org/10.52202/085713-0590,T1,conference,True,VERIFIED,2026-09-17
Reuel2024,"Reuel, A., Hardy, A., Smith, C., Lamparth, M., Hardy, M., & Kochenderfer, M. J. (2024). BetterBench: Assessing AI benchmarks, uncovering issues, and establishing best practices. In Advances in Neural Information Processing Systems 37 (pp. 21763–21813). https://doi.org/10.52202/079017-0685",10.52202/079017-0685,https://doi.org/10.52202/079017-0685,T1,conference,True,VERIFIED,2026-09-17
Kapoor2024,"Kapoor, S., Cantrell, E. M., Peng, K., Pham, T. H., Bail, C. A., Gundersen, O. E., Hofman, J. M., Hullman, J., Lones, M. A., Malik, M. M., Nanayakkara, P., Poldrack, R. A., Raji, I. D., Roberts, M., Salganik, M. J., Serra-Garcia, M., Stewart, B. M., Vandewiele, G., & Narayanan, A. (2024). REFORMS: Consensus-based recommendations for machine-learning-based science. Science Advances, 10(18), Article eadk3452. https://doi.org/10.1126/sciadv.adk3452",10.1126/sciadv.adk3452,https://doi.org/10.1126/sciadv.adk3452,T1,journal,True,VERIFIED,2026-09-17
Miller2024,"Miller, E. (2024). Adding error bars to evals: A statistical approach to language model evaluations [Preprint]. arXiv. https://doi.org/10.48550/arXiv.2411.00640",,https://arxiv.org/abs/2411.00640,T1,preprint,False,VERIFIED,2026-09-17
Bowyer2025,"Bowyer, S., Aitchison, L., & Ivanova, D. R. (2025). Position: Don't use the CLT in LLM evals with fewer than a few hundred datapoints. In Proceedings of the 42nd International Conference on Machine Learning (Vol. 267, pp. 81143–81184). PMLR. https://proceedings.mlr.press/v267/bowyer25a.html",,https://proceedings.mlr.press/v267/bowyer25a.html,T1,conference,True,checked (status field not recorded),2026-09-17
ASEANSec2025,"ASEAN Secretariat. (2025, November 24). Remarks by H.E. Dr. Kao Kim Hourn, Secretary-General of ASEAN, at the ceremony on the deposit of instruments of accession to ASEAN legal instruments by the Democratic Republic of Timor-Leste. https://asean.org/wp-content/uploads/2025/11/Updated_SG-Dr-Kao-Remarks-for-the-Ceremony-for-the-Deposity-of-Instruments-of-Accession-by-Ti.pdf",,https://asean.org/wp-content/uploads/2025/11/Updated_SG-Dr-Kao-Remarks-for-the-Ceremony-for-the-Deposity-of-Instruments-of-Accession-by-Ti.pdf,T3,official statement,False,VERIFIED,2026-09-17
ASEAN2025,Association of Southeast Asian Nations. (2025). Expanded ASEAN guide on AI governance and ethics: Generative AI. https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,T3,policy/grey,,VERIFIED,2026-09-17
TimorLesteConstitution2002,Constitution of the Democratic Republic of Timor-Leste. (2002). Section 13. Constitute Project. https://www.constituteproject.org/constitution/East_Timor_2002,,https://www.constituteproject.org/constitution/East_Timor_2002,T3,legal document,False,VERIFIED,2026-09-17
SunStar2026,"SunStar Cebu. (2026, June 29). Asean ministers adopt AI, teacher training initiatives. SunStar. https://www.sunstar.com.ph/cebu/asean-ministers-adopt-aiteacher-training-initiatives",,https://www.sunstar.com.ph/cebu/asean-ministers-adopt-aiteacher-training-initiatives,T3,news,,VERIFIED,2026-09-17
